rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,train/n_updates,time/fps,train/critic_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,time/total_timesteps,time/time_elapsed,train/ent_coef
13.49154842857143,-1.4664102792739868,-2.7704918384552,2075,0,32.20873260498047,14,155.42857142857142,0.0003,2176,2705,0.5539891719818115
13.799064266666669,-1.7520438432693481,-1.5125033855438232,2101,0,36.52532196044922,15,146.8,0.0003,2202,2740,0.5500788688659668
20.136308125,-1.7044674158096313,-3.0325984954833984,2170,0,99.11491394042969,16,141.9375,0.0003,2271,2830,0.5391238927841187
19.883312352941175,-1.6129670143127441,-5.712769508361816,2200,0,35.416011810302734,17,135.35294117647058,0.0003,2301,2867,0.5344527363777161
18.56725111111111,-1.7032301425933838,-4.703309059143066,2235,0,65.70948791503906,18,129.77777777777777,0.0003,2336,2910,0.5292424559593201
18.422686052631576,-1.8103641271591187,-6.23282527923584,2265,0,28.949386596679688,19,124.52631578947368,0.0003,2366,2949,0.5247687101364136
20.13218375,-1.8110548257827759,-6.388972282409668,2296,0,92.95695495605469,20,119.85,0.0003,2397,2990,0.5201248526573181
19.872465428571427,-1.7434837818145752,-7.360815525054932,2321,0,48.27979278564453,21,115.33333333333333,0.0003,2422,3021,0.5163817405700684
86.0428439090909,-1.6807862520217896,-9.483466148376465,2629,0,98.64915466308594,22,124.0909090909091,0.0003,2730,3416,0.47429174184799194
83.19764839130434,-1.921623706817627,-5.044439315795898,2650,0,116.78002166748047,23,119.6086956521739,0.0003,2751,3445,0.47163501381874084
81.87254241666666,-2.0533876419067383,-8.704838752746582,2686,0,86.29087829589844,24,116.125,0.0003,2787,3492,0.46716204285621643
79.5985624,-1.719902515411377,-9.635025024414062,2707,0,138.864990234375,25,112.32,0.0003,2808,3521,0.4645789563655853
77.55621876923077,-2.0423943996429443,-8.614052772521973,2728,0,85.92713928222656,26,108.8076923076923,0.0003,2829,3551,0.46200692653656006
77.11909351851853,-1.8672996759414673,-7.342257976531982,2756,0,66.52220916748047,27,105.81481481481481,0.0003,2857,3590,0.45854753255844116
128.78227382142856,-1.929295301437378,-9.76681900024414,3027,0,122.42961120605469,28,111.71428571428571,0.0003,3128,3952,0.4277914762496948
189.30279003448274,-1.7697001695632935,-20.14122772216797,3524,0,99.67903900146484,29,125.0,0.0003,3625,4586,0.3804551661014557
215.51094796666666,-1.464906930923462,-23.38083267211914,3721,0,88.1318359375,30,127.4,0.0003,3822,4829,0.36416006088256836
226.71167483870968,-1.8981006145477295,-21.592214584350586,3830,0,78.8114242553711,31,126.80645161290323,0.0003,3931,4975,0.3554173707962036
273.2293804375,-1.82771897315979,-27.135883331298828,4280,0,26.649324417114258,32,136.90625,0.0003,4381,5554,0.32122814655303955
294.76278506060606,-1.553450345993042,-30.3597354888916,4439,0,45.598854064941406,33,137.57575757575756,0.0003,4540,5777,0.30991917848587036
286.61584526470585,-1.5536744594573975,-30.257366180419922,4458,0,66.46084594726562,34,134.08823529411765,0.0003,4559,5801,0.30862942337989807
288.4363051428571,-1.608742117881775,-31.401334762573242,4529,0,38.803375244140625,35,132.28571428571428,0.0003,4630,5904,0.303931325674057
290.50208452777775,-1.47713303565979,-35.01362609863281,4599,0,70.26449584960938,36,130.55555555555554,0.0003,4700,6000,0.29954519867897034
291.4577204054054,-1.5465302467346191,-35.873085021972656,4651,0,27.91670036315918,37,128.43243243243242,0.0003,4752,6079,0.2964518070220947
297.0255076052631,-1.105763554573059,-38.08879089355469,4759,0,55.679874420166016,38,127.89473684210526,0.0003,4860,6214,0.29060855507850647
296.5538229230769,-1.5476219654083252,-36.83663558959961,4853,0,39.97063064575195,39,127.02564102564102,0.0003,4954,6320,0.28594446182250977
297.231445675,-1.239202857017517,-34.90009689331055,4922,0,41.77162170410156,40,125.575,0.0003,5023,6416,0.28260213136672974
297.6322910731707,-1.2039977312088013,-42.58308410644531,4971,0,30.772747039794922,41,123.70731707317073,0.0003,5072,6491,0.2803694009780884
297.39736630952376,-0.7820463180541992,-41.83173370361328,5056,0,35.512210845947266,42,122.78571428571429,0.0003,5157,6591,0.27648311853408813
297.24369086046505,-1.0884983539581299,-42.67662811279297,5143,0,351.19891357421875,43,121.95348837209302,0.0003,5244,6690,0.2725606858730316
297.42283502272727,-1.0805304050445557,-44.837257385253906,5230,0,147.24569702148438,44,121.1590909090909,0.0003,5331,6792,0.26904410123825073
311.0859678,-0.8268901705741882,-48.8172607421875,5409,0,83.09744262695312,45,122.44444444444444,0.0003,5510,7036,0.26217055320739746
