train/ent_coef_loss,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes
-5.27090311050415,28820,257.7283935546875,0.0003,0.10940711200237274,56.065547943115234,2.68,7593,7694,0,-97.55520143000001,1283
-5.738983154296875,28855,804.0747680664062,0.0003,0.10925501585006714,54.745113372802734,2.68,7598,7699,0,-97.66942531000001,1284
-5.53971004486084,28866,369.42242431640625,0.0003,0.10922438651323318,55.80516052246094,2.66,7599,7700,0,-97.82109596000001,1285
-5.455575942993164,28895,235.43716430664062,0.0003,0.10910224169492722,56.02714157104492,2.58,7603,7704,0,-98.24042461999997,1286
-5.424447059631348,28905,235.82470703125,0.0003,0.10907196998596191,56.30292892456055,2.58,7604,7705,0,-98.20883284,1287
-5.6505231857299805,28914,245.53196716308594,0.0003,0.10904178023338318,54.56806564331055,2.58,7605,7706,0,-98.14551539999997,1288
-5.463750839233398,28943,210.92218017578125,0.0003,0.10892067104578018,53.80038833618164,2.57,7609,7710,0,-98.43934598,1289
-5.4625325202941895,28953,231.53182983398438,0.0003,0.10889042168855667,55.54541015625,2.54,7610,7711,0,-98.68868856,1290
-5.547783374786377,28963,275.0052185058594,0.0003,0.10886023193597794,57.05107879638672,2.54,7611,7712,0,-98.51703544,1291
-5.4550652503967285,28992,220.70318603515625,0.0003,0.1087401881814003,57.39320373535156,2.57,7615,7716,0,-98.32113313999999,1292
-5.578390121459961,29002,187.92581176757812,0.0003,0.10871027410030365,55.792545318603516,2.55,7616,7717,0,-98.35334958999998,1293
-5.276638031005859,29018,190.78167724609375,0.0003,0.10865041613578796,56.71244812011719,2.56,7618,7719,0,-98.22584137999998,1294
-5.650966644287109,29062,246.5244903564453,0.0003,0.10847190022468567,55.46998596191406,2.55,7624,7725,0,-98.17801376,1295
-5.576263904571533,29071,261.44073486328125,0.0003,0.10844208300113678,57.24570846557617,2.54,7625,7726,0,-98.21035620999999,1296
-5.691012382507324,29082,213.9512939453125,0.0003,0.1084122508764267,52.63847351074219,2.54,7626,7727,0,-98.24992262999999,1297
-5.699042320251465,29098,207.4163818359375,0.0003,0.10835228115320206,56.58770751953125,2.53,7628,7729,0,-98.20042129000001,1298
-5.450684547424316,29128,611.5770263671875,0.0003,0.10823232680559158,55.66706848144531,2.5,7632,7733,0,-98.37126341,1299
-5.623967170715332,29139,277.0555419921875,0.0003,0.10820259898900986,54.3476676940918,2.45,7633,7734,0,-98.39559055,1300
-5.490576267242432,29161,255.36947631835938,0.0003,0.10811316967010498,54.85269546508789,2.46,7636,7737,0,-98.37356165000001,1301
-5.453305721282959,29171,303.86627197265625,0.0003,0.10808335244655609,53.049739837646484,2.45,7637,7738,0,-98.67552983000002,1302
-5.618250846862793,29181,233.54364013671875,0.0003,0.10805359482765198,56.063297271728516,2.45,7638,7739,0,-98.51208677000002,1303
-5.692431926727295,29203,234.65225219726562,0.0003,0.10796403139829636,56.506595611572266,2.47,7641,7742,0,-98.24478535,1304
-5.229585647583008,29219,575.890869140625,0.0003,0.10790415108203888,58.8271369934082,2.46,7643,7744,0,-98.26135031000001,1305
-5.342881679534912,29229,586.6754150390625,0.0003,0.10787443816661835,59.608829498291016,2.44,7644,7745,0,-98.19995270000001,1306
-5.598404407501221,29247,265.55712890625,0.0003,0.10781517624855042,55.310272216796875,2.45,7646,7747,0,-98.21662462,1307
-5.6494059562683105,29270,206.730224609375,0.0003,0.10772588104009628,59.05752944946289,2.46,7649,7750,0,-98.32556784999998,1308
-5.551630020141602,29299,596.7655029296875,0.0003,0.1076066717505455,59.673988342285156,2.46,7653,7754,0,-98.61183922000001,1309
-5.65183162689209,29322,587.2372436523438,0.0003,0.10751722753047943,56.93887710571289,2.43,7656,7757,0,-98.96961042999999,1310
-5.559463024139404,29338,546.1982421875,0.0003,0.10745738446712494,59.5854606628418,2.44,7658,7759,0,-98.74792011,1311
-5.652331352233887,29349,211.79043579101562,0.0003,0.10742749273777008,53.898441314697266,2.44,7659,7760,0,-98.87913006,1312
-5.5018744468688965,29359,251.6983642578125,0.0003,0.10739757865667343,55.24224090576172,2.42,7660,7761,0,-98.73239285999998,1313
-5.784859657287598,29369,475.6258544921875,0.0003,0.10736773163080215,57.76824188232422,2.37,7661,7762,0,-98.71750551999997,1314
-5.507820129394531,29386,224.63800048828125,0.0003,0.10730797052383423,53.902870178222656,2.37,7663,7764,0,-98.78965333000001,1315
